game_id,date_time_utc,home_score,away_score,home_team_id,away_team_id,referee_id,stadium_id,home_manager_id,away_manager_id,expanded_minutes,season_name,matchday,attendance,knockout_game,status,last_updated_utc,home_team,away_team
gpMO2Xe2Qz,2019-04-20 23:30:00 UTC,1,0,19vQ2095K6,a2lqRX2Mr0,Pk5LRpDQOW,wvq9p775Wn,4JMAEj1MKg,vzqo2dv5ap,96,2019,8,14514,False,FullTime,2019-04-23 10:22:58 UTC,New England Revolution,New York Red Bulls
kRQaV8VgMK,2019-08-17 23:00:00 UTC,1,1,a2lqRX2Mr0,19vQ2095K6,jYQJnoVQGR,NWMW84L5lz,vzqo2dv5ap,LeVq3j5WOJ,99,2019,23,18177,False,FullTime,2019-08-18 20:41:42 UTC,New York Red Bulls,New England Revolution
7VqGa1W6Mv,2019-05-25 23:30:00 UTC,1,1,19vQ2095K6,EKXMeX3Q64,gOMnB7AMwN,wvq9p775Wn,LeVq3j5WOJ,vzqoAjJMap,102,2019,13,20131,False,FullTime,2019-05-28 22:01:51 UTC,New England Revolution,D.C. United
gpMO2X1EQz,2019-07-12 23:00:00 UTC,2,2,EKXMeX3Q64,19vQ2095K6,EGMPLlxMaY,xW5pwORMg1,vzqoAjJMap,LeVq3j5WOJ,99,2019,19,18903,False,FullTime,2019-07-13 15:47:31 UTC,D.C. United,New England Revolution
0Oq612R756,2019-03-09 19:00:00 UTC,0,2,19vQ2095K6,mvzqoLZQap,gOMnB7AMwN,wvq9p775Wn,4JMAEj1MKg,NPqxkDY59d,100,2019,2,13808,False,FullTime,2019-03-21 11:44:42 UTC,New England Revolution,Columbus Crew
7vQ7ZldYqD,2019-04-06 23:30:00 UTC,1,0,mvzqoLZQap,19vQ2095K6,ljqExYw5x0,p6qbeb850G,NPqxkDY59d,4JMAEj1MKg,100,2019,6,10942,False,FullTime,2019-04-09 18:04:21 UTC,Columbus Crew,New England Revolution
KAqB2zmJqb,2019-08-24 23:30:00 UTC,2,1,19vQ2095K6,X0Oq66zq6D,KPqjDeNM6v,wvq9p775Wn,LeVq3j5WOJ,ljqExEA5x0,99,2019,24,16236,False,FullTime,2019-08-27 15:30:33 UTC,New England Revolution,Chicago Fire FC
kRQaV8wmMK,2019-05-09 00:00:00 UTC,5,0,X0Oq66zq6D,19vQ2095K6,kRQa9k8QKZ,9YqdkYR5vJ,ljqExEA5x0,4JMAEj1MKg,95,2019,11,6074,False,FullTime,2019-05-09 21:55:47 UTC,Chicago Fire FC,New England Revolution
N6MmAa6xME,2019-09-29 21:00:00 UTC,0,0,a2lqRX2Mr0,EKXMeX3Q64,4wM4voBqjB,NWMW84L5lz,vzqo2dv5ap,vzqoAjJMap,101,2019,29,20118,False,FullTime,2020-02-20 15:48:56 UTC,New York Red Bulls,D.C. United
ljqEza7EQx,2019-08-22 00:00:00 UTC,1,2,EKXMeX3Q64,a2lqRX2Mr0,e7MzPKXqr0,xW5pwORMg1,vzqoAjJMap,vzqo2dv5ap,107,2019,24,18302,False,FullTime,2019-08-28 14:19:08 UTC,D.C. United,New York Red Bulls
odMXlggWMY,2019-07-27 23:30:00 UTC,2,3,a2lqRX2Mr0,mvzqoLZQap,zeQZlGK5Kw,NWMW84L5lz,vzqo2dv5ap,NPqxkDY59d,96,2019,21,16126,False,FullTime,2019-07-29 21:49:20 UTC,New York Red Bulls,Columbus Crew
