team_name,games_played,wins,losses,draws,points,goals_scored,goals_conceded,goal_differential
Columbus Crew,8,4,1,3,15,14,8,6
New York Red Bulls,8,3,3,2,11,12,11,1
D.C. United,8,3,3,2,11,11,11,0
New England Revolution,8,2,3,3,9,10,13,-3
Chicago Fire FC,8,1,3,4,7,7,11,-4
