team_name,games_played,points,goals_scored,goals_conceded,goal_differential
San Jose Earthquakes,7,17,11,6,5
Colorado Rapids,7,9,7,7,0
LA Galaxy,7,8,9,9,0
FC Dallas,7,6,10,13,-3
Sporting Kansas City,4,4,4,6,-2
