Date,Match,Score,Winner
2017-07-22,New England Revolution vs. LA Galaxy,4 - 3,New England Revolution
2015-03-28,New England Revolution vs. San Jose Earthquakes,2 - 1,New England Revolution
2017-03-04,Colorado Rapids vs. New England Revolution,1 - 0,Colorado Rapids
2017-09-17,Sporting Kansas City vs. New England Revolution,3 - 1,Sporting Kansas City
2017-03-19,FC Dallas vs. New England Revolution,2 - 1,FC Dallas
2017-05-14,New York Red Bulls vs. LA Galaxy,1 - 3,LA Galaxy
2017-07-19,New York Red Bulls vs. San Jose Earthquakes,5 - 1,New York Red Bulls
2017-03-11,New York Red Bulls vs. Colorado Rapids,1 - 0,New York Red Bulls
2017-05-04,Sporting Kansas City vs. New York Red Bulls,2 - 0,Sporting Kansas City
2016-04-29,New York Red Bulls vs. FC Dallas,4 - 0,New York Red Bulls
2016-03-07,LA Galaxy vs. D.C. United,4 - 1,LA Galaxy
2017-09-23,D.C. United vs. San Jose Earthquakes,4 - 0,D.C. United
2017-08-20,Colorado Rapids vs. D.C. United,0 - 1,D.C. United
2016-05-28,Sporting Kansas City vs. D.C. United,0 - 1,D.C. United
2017-07-05,FC Dallas vs. D.C. United,4 - 2,FC Dallas
2017-08-23,Columbus Crew vs. LA Galaxy,2 - 0,Columbus Crew
2017-08-06,San Jose Earthquakes vs. Columbus Crew,2 - 1,San Jose Earthquakes
2017-06-04,Colorado Rapids vs. Columbus Crew,2 - 1,Colorado Rapids
2016-07-03,Sporting Kansas City vs. Columbus Crew,3 - 2,Sporting Kansas City
2017-08-26,Columbus Crew vs. FC Dallas,2 - 1,Columbus Crew
2015-03-07,LA Galaxy vs. Chicago Fire FC,2 - 0,LA Galaxy
2017-09-28,San Jose Earthquakes vs. Chicago Fire FC,1 - 4,Chicago Fire FC
2017-05-18,Chicago Fire FC vs. Colorado Rapids,3 - 0,Chicago Fire FC
2017-07-30,Sporting Kansas City vs. Chicago Fire FC,3 - 2,Sporting Kansas City
2017-05-26,Chicago Fire FC vs. FC Dallas,2 - 1,Chicago Fire FC
