team_name,games_played,wins,losses,draws,points,goals_scored,goals_conceded,goal_differential
New York Red Bulls,8,5,1,2,17,17,12,5
Chicago Fire FC,8,5,2,1,16,14,8,6
Columbus Crew,8,5,3,0,15,13,8,5
D.C. United,8,1,5,2,5,7,15,-8
New England Revolution,8,1,6,1,4,9,17,-8
