team_name,games_played,wins,losses,draws,points,goals_scored,goals_conceded,goal_differential
Colorado Rapids,8,5,1,2,17,9,5,4
Sporting Kansas City,8,3,2,3,12,11,8,3
FC Dallas,8,2,2,4,10,7,8,-1
LA Galaxy,8,0,2,6,6,5,7,-2
San Jose Earthquakes,8,1,4,3,6,7,11,-4
