team_name,games_played,points,goals_scored,goals_conceded,goal_differential
New England Revolution,8,17,15,10,5
Chicago Fire FC,8,15,16,14,2
Columbus Crew,8,13,14,8,6
New York Red Bulls,8,12,15,13,2
D.C. United,8,0,5,20,-15
