team_name,games_played,points,goals_scored,goals_conceded,goal_differential
FC Dallas,7,13,14,7,7
LA Galaxy,7,11,17,11,6
Sporting Kansas City,4,10,7,4,3
San Jose Earthquakes,7,7,6,11,-5
Colorado Rapids,7,2,7,18,-11
