team_name,games_played,wins,losses,draws,points,goals_scored,goals_conceded,goal_differential
Sporting Kansas City,8,4,1,3,15,13,6,7
Colorado Rapids,8,3,0,5,14,8,4,4
FC Dallas,8,2,2,4,10,11,10,1
San Jose Earthquakes,8,1,3,4,7,8,12,-4
LA Galaxy,8,1,5,2,5,8,16,-8
