team_name,games_played,points,goals_scored,goals_conceded,goal_differential
Columbus Crew,8,13,10,6,4
D.C. United,8,12,11,8,3
New York Red Bulls,8,10,11,13,-2
New England Revolution,8,10,8,11,-3
Chicago Fire FC,8,9,13,15,-2
