team_name,games_played,wins,losses,draws,points,goals_scored,goals_conceded,goal_differential
Columbus Crew,8,5,2,1,16,13,9,4
Chicago Fire FC,8,4,2,2,14,20,13,7
New England Revolution,8,3,3,2,11,14,14,0
New York Red Bulls,8,3,4,1,10,12,12,0
D.C. United,8,1,5,2,5,8,19,-11
