Date,Match,Score,Winner
2016-05-08,LA Galaxy vs. New England Revolution,4 - 2,LA Galaxy
2015-03-28,New England Revolution vs. San Jose Earthquakes,2 - 1,New England Revolution
2016-09-03,New England Revolution vs. Colorado Rapids,2 - 0,New England Revolution
2016-10-01,New England Revolution vs. Sporting Kansas City,3 - 1,New England Revolution
2016-05-21,New England Revolution vs. FC Dallas,2 - 4,FC Dallas
2014-09-29,LA Galaxy vs. New York Red Bulls,4 - 0,LA Galaxy
2016-04-14,San Jose Earthquakes vs. New York Red Bulls,2 - 0,San Jose Earthquakes
2016-04-17,Colorado Rapids vs. New York Red Bulls,2 - 1,Colorado Rapids
2016-04-09,New York Red Bulls vs. Sporting Kansas City,0 - 2,Sporting Kansas City
2016-04-29,New York Red Bulls vs. FC Dallas,4 - 0,New York Red Bulls
2016-03-07,LA Galaxy vs. D.C. United,4 - 1,LA Galaxy
2015-08-22,D.C. United vs. San Jose Earthquakes,0 - 2,San Jose Earthquakes
2014-08-18,D.C. United vs. Colorado Rapids,4 - 2,D.C. United
2016-05-28,Sporting Kansas City vs. D.C. United,0 - 1,D.C. United
2016-03-26,D.C. United vs. FC Dallas,0 - 3,FC Dallas
2016-09-04,LA Galaxy vs. Columbus Crew,2 - 1,LA Galaxy
2016-08-27,Columbus Crew vs. San Jose Earthquakes,2 - 0,Columbus Crew
2015-08-09,Colorado Rapids vs. Columbus Crew,1 - 2,Columbus Crew
2016-07-03,Sporting Kansas City vs. Columbus Crew,3 - 2,Sporting Kansas City
2015-09-06,Columbus Crew vs. FC Dallas,0 - 3,FC Dallas
2015-03-07,LA Galaxy vs. Chicago Fire FC,2 - 0,LA Galaxy
2016-07-02,Chicago Fire FC vs. San Jose Earthquakes,1 - 0,Chicago Fire FC
2016-06-19,Colorado Rapids vs. Chicago Fire FC,2 - 1,Colorado Rapids
2016-07-14,Chicago Fire FC vs. Sporting Kansas City,1 - 0,Chicago Fire FC
2016-07-17,FC Dallas vs. Chicago Fire FC,3 - 1,FC Dallas
