team_name,games_played,wins,losses,draws,points,goals_scored,goals_conceded,goal_differential
LA Galaxy,8,7,1,0,21,23,13,10
Sporting Kansas City,8,4,4,0,12,17,16,1
Colorado Rapids,8,4,4,0,12,16,17,-1
FC Dallas,8,3,5,0,9,14,16,-2
San Jose Earthquakes,8,2,6,0,6,12,20,-8
