team_name,games_played,points,goals_scored,goals_conceded,goal_differential
New York Red Bulls,8,17,17,12,5
Chicago Fire FC,8,16,14,8,6
Columbus Crew,8,15,13,8,5
D.C. United,8,5,7,15,-8
New England Revolution,8,4,9,17,-8
