team_name,games_played,wins,losses,draws,points,goals_scored,goals_conceded,goal_differential
FC Dallas,8,5,1,2,17,16,8,8
Sporting Kansas City,8,3,2,3,12,13,12,1
Colorado Rapids,8,4,4,0,12,10,11,-1
San Jose Earthquakes,8,2,4,2,8,10,14,-4
LA Galaxy,8,2,5,1,7,14,18,-4
