team_name,games_played,points,goals_scored,goals_conceded,goal_differential
New York Red Bulls,8,15,14,9,5
Columbus Crew,8,14,13,8,5
Chicago Fire FC,8,10,10,9,1
New England Revolution,8,7,7,9,-2
D.C. United,8,5,6,15,-9
