team_name,games_played,points,goals_scored,goals_conceded,goal_differential
FC Dallas,8,17,16,8,8
Sporting Kansas City,8,12,13,12,1
Colorado Rapids,8,12,10,11,-1
San Jose Earthquakes,8,8,10,14,-4
LA Galaxy,8,7,14,18,-4
