team_name,games_played,wins,losses,draws,points,goals_scored,goals_conceded,goal_differential
New York Red Bulls,8,4,1,3,15,14,9,5
Columbus Crew,8,3,0,5,14,13,8,5
Chicago Fire FC,8,2,2,4,10,10,9,1
New England Revolution,8,1,3,4,7,7,9,-2
D.C. United,8,1,5,2,5,6,15,-9
