team_name,games_played,points,goals_scored,goals_conceded,goal_differential
San Jose Earthquakes,8,14,16,13,3
Sporting Kansas City,6,9,12,12,0
FC Dallas,5,8,13,12,1
Colorado Rapids,5,7,8,8,0
LA Galaxy,4,1,1,5,-4
