team_name,games_played,wins,losses,draws,points,goals_scored,goals_conceded,goal_differential
Chicago Fire FC,7,4,2,1,13,18,11,7
Columbus Crew,7,4,2,1,13,10,8,2
New York Red Bulls,7,3,3,1,10,11,9,2
New England Revolution,7,3,3,1,10,12,12,0
D.C. United,8,1,5,2,5,8,19,-11
