game_id,date_time_utc,home_score,away_score,home_team_id,away_team_id,referee_id,stadium_id,home_manager_id,away_manager_id,expanded_minutes,season_name,matchday,attendance,knockout_game,status,last_updated_utc,home_team,away_team
9z5kd0GdqA,2015-09-16 23:30:00 UTC,2,1,19vQ2095K6,a2lqRX2Mr0,e7MzPKXqr0,wvq9p775Wn,9z5kJ0jMA3,Xj5Yre0qbd,96,2015,30,10997,False,FullTime,2016-01-20 21:40:31 UTC,New England Revolution,New York Red Bulls
gjMNYlZvQK,2015-07-11 23:00:00 UTC,4,1,a2lqRX2Mr0,19vQ2095K6,0Oq6037M6D,NWMW84L5lz,Xj5Yre0qbd,9z5kJ0jMA3,95,2015,20,18640,False,FullTime,2016-05-17 19:34:18 UTC,New York Red Bulls,New England Revolution
Xj5YYD7A5b,2015-05-23 23:30:00 UTC,1,1,19vQ2095K6,EKXMeX3Q64,a35r6KG5L6,wvq9p775Wn,9z5kJ0jMA3,vzqoAjJMap,99,2015,12,15216,False,FullTime,2016-05-17 16:23:30 UTC,New England Revolution,D.C. United
KPqja0my56,2015-06-21 21:00:00 UTC,2,1,EKXMeX3Q64,19vQ2095K6,e7MzPKXqr0,jYQJ1PBqGR,vzqoAjJMap,9z5kJ0jMA3,96,2015,16,17213,False,FullTime,2016-01-19 19:40:18 UTC,D.C. United,New England Revolution
2vQ1xEWKqr,2015-04-11 19:00:00 UTC,0,0,19vQ2095K6,mvzqoLZQap,zeQZl7D5Kw,wvq9p775Wn,9z5kJ0jMA3,0x5gN9PM7O,101,2015,6,13092,False,FullTime,2016-01-05 20:23:09 UTC,New England Revolution,Columbus Crew
zeQZ6ZmKQK,2015-06-24 23:30:00 UTC,2,1,mvzqoLZQap,19vQ2095K6,zeQZlGK5Kw,p6qbeb850G,0x5gN9PM7O,9z5kJ0jMA3,98,2015,17,11435,False,FullTime,2016-01-19 19:46:06 UTC,Columbus Crew,New England Revolution
NPqxYvlmQ9,2015-06-13 23:30:00 UTC,2,0,19vQ2095K6,X0Oq66zq6D,zeQZl7D5Kw,wvq9p775Wn,9z5kJ0jMA3,4wM4zRlqjB,97,2015,7,15775,False,FullTime,2016-07-04 13:12:45 UTC,New England Revolution,Chicago Fire FC
ljqEazO4qx,2015-10-04 01:30:00 UTC,3,1,X0Oq66zq6D,19vQ2095K6,315VrXb59x,9YqdkYR5vJ,kRQaRD1MKZ,9z5kJ0jMA3,99,2015,32,16694,False,FullTime,2015-11-10 20:33:27 UTC,Chicago Fire FC,New England Revolution
p6qb1ZDw50,2015-08-31 00:00:00 UTC,3,0,a2lqRX2Mr0,EKXMeX3Q64,9z5kJ7gMA3,NWMW84L5lz,Xj5Yre0qbd,vzqoAjJMap,94,2015,27,22645,False,FullTime,2015-09-01 19:07:44 UTC,New York Red Bulls,D.C. United
Vj58j2R4Q8,2015-04-11 23:00:00 UTC,2,2,EKXMeX3Q64,a2lqRX2Mr0,9YqdEL9QvJ,jYQJ1PBqGR,vzqoAjJMap,Xj5Yre0qbd,96,2015,6,16304,False,FullTime,2016-02-12 19:36:00 UTC,D.C. United,New York Red Bulls
BLMvOvNW5x,2015-10-03 23:00:00 UTC,2,1,a2lqRX2Mr0,mvzqoLZQap,0Oq6037M6D,NWMW84L5lz,Xj5Yre0qbd,0x5gN9PM7O,97,2015,32,21715,False,FullTime,2016-05-17 20:28:44 UTC,New York Red Bulls,Columbus Crew
gpMOX2mn5z,2015-07-04 23:30:00 UTC,2,1,mvzqoLZQap,a2lqRX2Mr0,Oa5w9R9Q14,p6qbeb850G,0x5gN9PM7O,Xj5Yre0qbd,97,2015,19,14429,False,FullTime,2016-01-19 20:28:12 UTC,Columbus Crew,New York Red Bulls
KAqBz2XBqb,2015-09-11 23:00:00 UTC,3,2,a2lqRX2Mr0,X0Oq66zq6D,gjMNk4v5Kp,NWMW84L5lz,Xj5Yre0qbd,4wM4zRlqjB,96,2015,29,17184,False,FullTime,2016-05-17 20:08:58 UTC,New York Red Bulls,Chicago Fire FC
gOMnJKe8Mw,2015-10-25 23:00:00 UTC,1,2,X0Oq66zq6D,a2lqRX2Mr0,odMXjR0qYL,9YqdkYR5vJ,kRQaRD1MKZ,Xj5Yre0qbd,96,2015,35,19850,False,FullTime,2015-11-20 19:56:57 UTC,Chicago Fire FC,New York Red Bulls
gjMNYlNDQK,2015-09-19 23:00:00 UTC,1,2,EKXMeX3Q64,mvzqoLZQap,EGMPLlxMaY,jYQJ1PBqGR,vzqoAjJMap,0x5gN9PM7O,97,2015,30,19033,False,FullTime,2016-01-20 21:22:44 UTC,D.C. United,Columbus Crew
0x5gbV7wM7,2015-10-25 21:00:00 UTC,5,0,mvzqoLZQap,EKXMeX3Q64,e7MzPKXqr0,p6qbeb850G,0x5gN9PM7O,vzqoAjJMap,94,2015,35,19121,False,FullTime,2016-05-17 16:21:41 UTC,Columbus Crew,D.C. United
jYQJXdjZ5G,2015-10-18 18:00:00 UTC,4,0,EKXMeX3Q64,X0Oq66zq6D,4wM40nzMjB,jYQJ1PBqGR,vzqoAjJMap,kRQaRD1MKZ,97,2015,34,20104,False,FullTime,2016-01-19 20:12:22 UTC,D.C. United,Chicago Fire FC
kRQa8VmgqK,2015-06-25 00:30:00 UTC,0,1,X0Oq66zq6D,EKXMeX3Q64,KPqjb74q6v,9YqdkYR5vJ,4wM4zRlqjB,vzqoAjJMap,96,2015,17,11833,False,FullTime,2016-01-05 15:58:15 UTC,Chicago Fire FC,D.C. United
KPqja0ey56,2015-07-19 22:00:00 UTC,3,1,mvzqoLZQap,X0Oq66zq6D,jYQJnoVQGR,p6qbeb850G,0x5gN9PM7O,4wM4zRlqjB,96,2015,21,15455,False,FullTime,2018-09-12 14:08:55 UTC,Columbus Crew,Chicago Fire FC
OlMldb2gML,2015-07-16 00:30:00 UTC,0,1,X0Oq66zq6D,mvzqoLZQap,EGMPLlxMaY,9YqdkYR5vJ,4wM4zRlqjB,0x5gN9PM7O,98,2015,21,14092,False,FullTime,2016-05-17 15:33:31 UTC,Chicago Fire FC,Columbus Crew
