team_name,games_played,points,goals_scored,goals_conceded,goal_differential
LA Galaxy,8,16,17,11,6
San Jose Earthquakes,8,14,12,8,4
Colorado Rapids,8,12,12,8,4
FC Dallas,8,8,10,15,-5
Sporting Kansas City,8,6,8,17,-9
